OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
75098,Sunset Blvd&Vicente St SE-NS/SB,SUNSVCT1,SUNSVCTE,6560,37.738378999999995,-122.494084,,VICENTE ST,SUNSET BLVD,NS,SE,,1,1729767266000,15733316,147,4,POINT (-122.494084 37.738379),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,40,40
74527,Williams Ave&3rd St N-FS,WLMS.3S0,WLMS.3ST,6968,37.72938,-122.39295,,03RD ST,WILLIAMS AVE,FS,NO,FL,0,1729767266000,15735838,147,10,POINT (-122.39295 37.72938),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,2,9,1,87,87
74634,Taraval St&32nd Ave NE-NS/SI,TARA32A0,TARA32AV,6628,37.742491,-122.489505,1,32ND AVE,TARAVAL ST,NS,NE,,0,1729767266000,15734433,147,4,POINT (-122.489505 37.742491),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,40,40
75295,Powell St&North Point St SW-FS/BZ,POWLN.P0,POWLN.PT,6066,37.806497,-122.412176,,NORTH POINT ST,POWELL ST,FS,SW,BZ,1,1729767266000,15733556,147,3,POINT (-122.412176 37.806497),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,6,3,23,99,99
74033,Mission St&Trumbull St W-FS/BZ,MISSTRU0,MISSTRUM,5625,37.73045,-122.42971,,TRUMBULL ST,MISSION ST,FS,WE,BZ,0,1729767266000,15731585,147,11,POINT (-122.42971 37.73045),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,9,1,28,94,94
74727,30th Ave & Geary Blvd,30AVGEAR,,7836,37.780771,-122.490064,,GEARY BLVD,30TH AVE,,,,0,1729767266000,15739131,147,1,POINT (-122.490064 37.780771),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,8,4,29,8,8
75514,Sloat Blvd&45th Ave NW-FS/BZ,SLOA45A1,SLOA45AV,6450,37.735600000000005,-122.503407,,45TH AVE,SLOAT BLVD,FS,NW,BZ,1,1729767266000,15733728,147,4,POINT (-122.503407 37.7356),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,40,40
73417,The Embarcadero&Green St NE-FS/SI,EMBRGRE1,EMBRGREN,4517,37.801263999999996,-122.39936900000001,1,GREEN ST,THE EMBARCADERO,FS,NE,SI,0,1729767266000,15729941,147,3,POINT (-122.399369 37.801264),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,6,3,8,77,77
74476,Miguel ST&Laidley ST E-MI/SB,MIGLLAI1,,7868,37.737752,-122.428248,,CHENERY ST,MIGUEL ST,,,,0,1729767266000,15738906,147,8,POINT (-122.428248 37.737752),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,9,5,10,59,59
75915,Stockton & Washington ST NS SE,STOK.WAS,,8117,37.794878,-122.40804299999999,,WASHINGTON ST,STOCKTON ST,,,,0,1729767266000,15739268,147,3,POINT (-122.408043 37.794878),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,6,3,6,104,104
72937,42nd Ave&Clement St SE-NS/PS,42AVCLM0,42AVCLMT,3566,37.781087,-122.502994,1,CLEMENT ST,42ND AVE,NS,SE,,0,1729767266000,15728580,147,1,POINT (-122.502994 37.781087),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,8,4,29,8,8
73478,Diamond St&Clipper St NW-NS/PS,DIAMCLP0,DIAMCLPR,4390,37.748853,-122.436162,,CLIPPER ST,DIAMOND ST,NS,NW,,0,1729767266000,15729730,147,8,POINT (-122.436162 37.748853),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,3,5,22,84,84
74686,Pine St&Montgomery St NE-NS/SB,PINEMTG0,PINEMTGY,5944,37.791941,-122.402542,1,,,NS,NE,,0,1729767266000,15737505,147,3,POINT (-122.402542 37.791941),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,6,3,8,108,108
74328,Market St&16th St W-FS/BZ,MRKT16ST,MRKT16ST,5654,37.763909999999996,-122.43366,1,16TH ST,MARKET ST,FS,WE,BB,1,1729767266000,15735615,147,8,POINT (-122.43366 37.76391),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,3,5,5,28,28
